id,Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Food Insecure Categorical
1189,0.733333333,3.633333333,0
794,0.7,3.5,0
1642,0.7,3.45,0
625,0.7,3.4,0
108,8,49.7,0
1481,8.1,49.8,0
1137,8.333333333,50,0
1216,8.45,50.1,1
69,8.6,50.2,1
810,3.2,16.5,0
857,2.9,15.43333333,0
294,2.4,12.83333333,0
4,2,10.95,0
633,1.7,8.6,0
1915,,,0
982,,,0
753,,,0
384,,,0
141,,,0
182,,,0
1458,,,0
595,,,0
1741,,,0
1480,,,0
95,17.05,43.85,0
1747,17.4,44.3,0
1336,18.13333333,46.13333333,0
1219,18.65,47.45,0
1100,19.2,49.7,0
1352,48.4,73.75,1
944,48.83333333,73.86666667,1
1886,49.7,74.1,1
787,49.7,74.1,1
1023,49.7,74.1,1
1011,,,0
758,,,0
1612,,,0
1625,,,0
27,,,0
1256,,,0
1044,,,0
339,,,0
444,,,0
963,,,0
1763,,,0
1828,,,0
1646,,,0
495,,,0
58,,,0
984,14.1,41.25,0
423,14.06666667,41.13333333,0
1146,14.23333333,42.53333333,0
1700,14.3,43.25,0
1367,14.6,45.6,0
1723,1,9.1,0
332,0.933333333,8.366666667,0
783,1.033333333,8.1,0
1591,1.1,7.75,0
1414,1.4,8.6,0
106,,,0
1842,,,0
376,,,0
831,,,0
162,,,0
338,0.9,7.45,0
78,0.866666667,7.3,0
1905,0.8,6.933333333,0
520,0.75,6.6,0
721,0.7,6.2,0
509,9,43.85,0
1252,8.8,42.76666667,0
1404,8.6,41.83333333,0
1614,8.55,41.55,0
711,8.7,42.5,0
1960,,,0
634,,,0
420,,,0
640,,,0
1039,,,0
1507,1.5,11.95,0
1350,1.566666667,12.26666667,0
916,1.733333333,12.96666667,0
217,1.8,13.3,0
1423,1.9,13.7,0
139,1.1,7.55,0
181,1.1,7.433333333,0
19,1.133333333,7.133333333,0
943,1.15,6.95,0
664,1.2,6.7,0
1202,,,0
1954,,,0
985,,,0
910,,,0
448,,,0
1235,0.5,2.95,0
747,0.566666667,3.033333333,0
477,0.633333333,3.266666667,0
1069,0.7,3.3,0
1063,0.7,3.4,0
1509,,,0
1021,,,0
1445,,,0
1204,,,0
39,,,0
1489,0.5,2.1,0
235,0.5,2.1,0
71,0.5,2.166666667,0
667,0.5,2.2,0
1523,0.5,2.3,0
1012,20.2,58.5,1
1909,21.23333333,60.43333333,1
1224,23.4,64.4,1
1230,24.5,66.4,1
1269,25.7,68.5,1
999,,,0
1010,8,40.9,0
1618,7.95,40.9,0
210,7.95,40.9,0
661,7.9,40.9,0
1361,4.9,12.35,0
1699,4.9,12.33333333,0
592,4.9,12.26666667,0
539,4.9,12.25,0
1295,4.9,12.2,0
786,0.8,6.3,0
1738,0.8,6.3,0
1936,0.9,6.533333333,0
1097,0.95,6.65,0
672,1.1,7,0
826,,,0
1311,,,0
1955,8.9,29.4,0
692,8.9,29.4,0
1688,8.9,29.4,0
1234,,,0
1136,,,0
367,,,0
1053,,,0
1316,,,0
1340,,,0
1898,,,0
1014,27,49.7,0
730,27,49.7,0
1368,27,49.7,0
1737,,,0
1103,,,0
1944,37.3,80.6,1
1521,37.3,80.6,1
288,37.3,80.6,1
881,1.8,12.8,0
762,1.566666667,12.1,0
1840,1.466666667,11.43333333,0
1392,1.4,11,0
1168,1.7,11.3,0
832,,,0
728,,,0
1240,,,0
82,,,0
507,,,0
1719,51.65,81.85,1
1611,51.6,81.83333333,1
328,51.5,81.8,1
213,51.45,81.8,1
641,51.4,81.8,1
687,6.7,15.1,0
1042,6.7,15.1,0
479,6.966666667,16.3,0
1559,7.1,16.9,0
185,7.5,18.7,0
1543,,,0
453,,,0
684,,,0
555,,,0
467,,,0
601,,,0
891,,,0
1261,,,0
1369,,,0
632,,,0
1622,,,0
680,,,0
1143,,,0
1931,,,0
1431,,,0
1115,5.25,30.75,0
1165,5.466666667,32.46666667,0
442,5.966666667,36,0
366,6.2,37.85,0
456,6.5,39.8,0
1571,6.1,17.55,0
152,6.333333333,18.6,0
889,7.133333333,21.13333333,0
190,7.55,22.45,0
134,8.3,24.2,0
1020,3.3,23.65,0
1668,3.433333333,23.43333333,0
1838,4.266666667,24.03333333,0
593,4.75,24.55,0
1855,5.8,26.1,0
1768,,,0
772,,,0
1680,,,0
1035,,,0
1956,,,0
1187,2.25,11.65,0
250,2.233333333,12.06666667,0
646,2.433333333,12.8,0
500,2.5,13.2,0
1884,2.8,13.5,0
318,,,0
37,,26.7,0
1656,,27.35,0
231,,27.35,0
1935,,28,0
732,,,0
1964,40.7,68.4,1
844,40.6,69.75,1
614,40.6,69.75,1
547,40.5,71.1,1
834,,,0
766,,,0
946,1.9,22.2,0
1030,1.9,22.2,0
177,1.9,22.2,0
1453,30.05,54.75,1
1166,30.46666667,55.3,1
1005,31.3,56.43333333,1
626,31.7,57,1
1330,32.1,57.6,1
80,,,0
1563,,,0
1554,,,0
1681,,,0
1707,,,0
1597,9.6,31.4,0
952,9.833333333,32.2,0
145,10.63333333,33.93333333,0
292,11.15,35.1,0
201,12,36.4,0
1034,1.6,5.3,0
204,1.633333333,5.233333333,0
1872,1.533333333,4.966666667,0
1953,1.55,4.9,0
1008,1.4,4.7,0
1970,,,0
1138,,,0
326,,,0
1208,,,0
1574,,,0
179,3.75,12.3,0
821,3.966666667,12.83333333,0
441,4.166666667,13.73333333,0
129,4.15,13.95,0
86,3.9,14,0
1760,,,0
173,,,0
656,,,0
1579,,,0
528,,,0
1113,,,0
1366,,,0
1675,,,0
1514,,,0
588,,,0
968,10.7,41.85,0
517,12.06666667,43.6,0
1690,16.1,49.46666667,0
1244,18.1,52.4,1
62,21.4,57.7,1
1046,,,0
580,,,0
1548,,,0
1686,,,0
1003,,,0
1388,3.1,14,0
1490,3.133333333,14.13333333,0
1634,3.766666667,15.46666667,0
1856,4.1,16.05,0
1462,5,17.7,0
716,,,0
279,,,0
271,,,0
759,,,0
1590,,,0
669,,,0
1830,,,0
864,,,0
644,,,0
554,,,0
541,,,0
169,,,0
1487,,,0
1567,,,0
290,,,0
713,4.4,26.3,0
599,4.4,26.3,0
978,4.4,26.3,0
1025,4.4,26.3,0
1325,4.4,26.3,0
1299,,,0
1117,,,0
482,,,0
17,,,0
907,,,0
1486,,,0
1951,,,0
1036,,,0
542,,,0
122,,,0
890,,,0
996,,,0
1598,,,0
673,,,0
1407,,,0
920,16.65,42.75,0
564,17.1,43.46666667,0
322,17.93333333,45.2,0
454,18.6,46.35,0
1782,19.2,47.8,0
954,,,0
1684,3.2,41.2,0
1753,3.6,41.95,0
1799,3.6,41.95,0
575,4,42.7,0
603,3.35,12.4,0
1157,3.2,11.83333333,0
1502,3.1,11.26666667,0
1706,3.05,11.1,0
951,3.2,11.5,0
1482,,,0
1583,,,0
76,,,0
1123,,,0
819,,,0
1837,,,0
735,,,0
1055,,,0
1430,,,0
1561,,,0
1175,0.5,5.2,0
1096,0.5,5.2,0
296,0.533333333,5.233333333,0
1467,0.55,5.15,0
1833,0.6,5.1,0
191,2.55,22.8,0
1111,3.033333333,24.36666667,0
371,3.8,26.43333333,0
975,4.25,27.35,0
1206,4.5,27.2,0
1007,4.4,15.65,0
1585,4.066666667,15.26666667,0
232,3.6,14.36666667,0
828,3.4,14.2,0
301,3.4,13.9,0
566,0.65,8.4,0
429,0.6,7.966666667,0
829,0.533333333,7,0
1713,0.5,6.55,0
1685,0.5,6,0
858,,,0
1191,,,0
1282,,,0
